,PLACEKEY,PARENT_PLACEKEY,LOCATION_NAME,SAFEGRAPH_BRAND_IDS,BRANDS,STORE_ID,TOP_CATEGORY,SUB_CATEGORY,NAICS_CODE,LATITUDE,LONGITUDE,STREET_ADDRESS,CITY,REGION,POSTAL_CODE,ISO_COUNTRY_CODE,PHONE_NUMBER,OPEN_HOURS,CATEGORY_TAGS,OPENED_ON,CLOSED_ON,TRACKING_CLOSED_SINCE,GEOMETRY_TYPE,DOMAINS,WEBSITE
760,zzw-226@627-s8j-xwk,226-22k@627-s8j-xt9,Forever 21,SG_BRAND_88461a3df4ffdc97,Forever 21,,Clothing Stores,Women's Clothing Stores,448120,40.750625,-73.990404,435 7th Ave,New York,NY,10001.0,US,12122094335.0,"{ ""Mon"": [[""9:00"", ""22:00""]], ""Tue"": [[""9:00"", ""22:00""]], ""Wed"": [[""9:00"", ""22:00""]], ""Thu"": [[""9:00"", ""22:00""]], ""Fri"": [[""9:00"", ""22:00""]], ""Sat"": [[""9:00"", ""22:00""]], ""Sun"": [[""10:00"", ""20:00""]] }","Accessories,Home Decor,Men's Clothing,Plus Size,Women's Clothing",,,2019-07,POLYGON,"[""capriottis.com"",""forever21.com""]",https://locations.forever21.com/us/stores/ny/newyork/435-seventh-ave
762,zzy-228@627-s8j-zfz,,McDonald's,SG_BRAND_5179b21fc1d50950b99b4eecaa48c614,McDonald's,3835.0,Restaurants and Other Eating Places,Limited-Service Restaurants,722513,40.746041,-73.990908,809 Avenue of the Americas,New York,NY,10001.0,US,12124639495.0,"{ ""Mon"": [[""7:00"", ""23:00""]], ""Tue"": [[""7:00"", ""23:00""]], ""Wed"": [[""7:00"", ""23:00""]], ""Thu"": [[""7:00"", ""23:00""]], ""Fri"": [[""7:00"", ""23:00""]], ""Sat"": [[""7:00"", ""23:00""]], ""Sun"": [[""7:00"", ""23:00""]] }","Breakfast,Burgers,Counter Service,Dinner,Fast Food,Lunch",,,2019-07,POLYGON,"[""mcdonalds.com"",""mylocalmcds.com""]",https://www.mcdonalds.com/us/en-us/location/3835.html
763,222-224@627-s4r-5xq,,Greenland Pet Shop,,,,Other Miscellaneous Store Retailers,Pet and Pet Supplies Stores,453910,40.773115,-73.989745,33 W End Ave,New York,NY,10023.0,US,12129569600.0,"{ ""Mon"": [[""10:00"", ""20:30""]], ""Tue"": [[""10:00"", ""20:30""]], ""Wed"": [[""10:00"", ""20:30""]], ""Thu"": [[""10:00"", ""20:30""]], ""Fri"": [[""10:00"", ""20:30""]], ""Sat"": [[""10:00"", ""20:00""]], ""Sun"": [[""13:00"", ""19:00""]] }",Groomer,,,2019-07,POLYGON,[],https://greenland-pet-suppliesgrooming.business.site
764,22h-222@627-wc7-5j9,,Noodle Village,,,,Restaurants and Other Eating Places,Full-Service Restaurants,722511,40.714147,-73.998918,13 Mott St,New York,NY,10013.0,US,12122330788.0,"{ ""Mon"": [[""11:00"", ""21:30""]], ""Tue"": [[""11:00"", ""21:30""]], ""Wed"": [[""11:00"", ""21:30""]], ""Thu"": [[""11:00"", ""21:30""]], ""Fri"": [[""10:30"", ""22:00""]], ""Sat"": [[""10:30"", ""22:00""]], ""Sun"": [[""10:30"", ""21:30""]] }","Chinese Food,Noodles",,,2019-07,POLYGON,"[""nynoodlevillage.com""]",http://nynoodlevillage.com
765,22k-222@627-s8j-ht9,,Coppelia,,,,Restaurants and Other Eating Places,Full-Service Restaurants,722511,40.73895,-73.999952,207 W 14th St,New York,NY,10011.0,US,12128585001.0,"{ ""Mon"": [[""0:00"", ""24:00""]], ""Tue"": [[""0:00"", ""24:00""]], ""Wed"": [[""0:00"", ""24:00""]], ""Thu"": [[""0:00"", ""24:00""]], ""Fri"": [[""0:00"", ""24:00""]], ""Sat"": [[""0:00"", ""24:00""]], ""Sun"": [[""0:00"", ""24:00""]] }","Bar or Pub,Cuban Food,Late Night,Latin American Food",,,2019-07,POLYGON,"[""ilovecoppelia.com""]",https://ilovecoppelia.com
772,22d-222@627-s4k-p5f,,Mani Market Place,,,,Restaurants and Other Eating Places,Limited-Service Restaurants,722513,40.791068,-73.96846,697 Columbus Ave,New York,NY,10025.0,US,12126624392.0,"{ ""Mon"": [[""7:00"", ""23:00""]], ""Tue"": [[""7:00"", ""23:00""]], ""Wed"": [[""7:00"", ""23:00""]], ""Thu"": [[""7:00"", ""23:00""]], ""Fri"": [[""7:00"", ""23:00""]], ""Sat"": [[""7:00"", ""23:00""]], ""Sun"": [[""7:00"", ""22:00""]] }","Deli,Sandwich Shop",,,2019-07,POLYGON,"[""manimarketplace.com""]",http://www.manimarketplace.com/
773,22f-222@627-wbv-hyv,,Zoob Zib Thai Authentic Noodle Bar,,,,Restaurants and Other Eating Places,Full-Service Restaurants,722511,40.754369,-73.995372,460 9th Ave,New York,NY,10018.0,US,12129718530.0,"{ ""Mon"": [[""11:30"", ""21:00""]], ""Tue"": [[""11:30"", ""21:00""]], ""Wed"": [[""11:30"", ""21:00""]], ""Thu"": [[""11:30"", ""21:00""]], ""Fri"": [[""11:30"", ""21:00""]], ""Sat"": [[""11:30"", ""21:00""]], ""Sun"": [[""11:30"", ""21:00""]] }","Noodles,Thai Food",,,2019-07,POLYGON,"[""zoobzibnyc.com""]",
774,22k-222@627-s8q-zs5,23s-227@627-s8t-tgk,United States Postal Service (USPS),SG_BRAND_27ee73cd1fb6f5e432852fea401eacce,United States Postal Service (USPS),1365295.0,Postal Service,Postal Service,491110,40.753198,-73.975503,450 Lexington Ave Fl 2,New York,NY,10017.0,US,12123305724.0,"{ ""Mon"": [[""7:30"", ""19:00""]], ""Tue"": [[""7:30"", ""19:00""]], ""Wed"": [[""7:30"", ""19:00""]], ""Thu"": [[""7:30"", ""19:00""]], ""Fri"": [[""7:30"", ""19:00""]], ""Sat"": [[""7:30"", ""13:00""]], ""Sun"": [] }",,,,2019-07,POLYGON,"[""usps.com""]",https://tools.usps.com/find-location.htm?location=1365295
781,226-226@627-s8q-syv,,Chipotle Mexican Grill,SG_BRAND_87bd111b6dd52ef32eaf3abf6d509065,Chipotle Mexican Grill,491.0,Restaurants and Other Eating Places,Limited-Service Restaurants,722513,40.757345,-73.970894,150 E 52nd St,New York,NY,10022.0,US,12127559754.0,"{ ""Mon"": [[""10:45"", ""23:00""]], ""Tue"": [[""10:45"", ""23:00""]], ""Wed"": [[""10:45"", ""23:00""]], ""Thu"": [[""10:45"", ""23:00""]], ""Fri"": [[""10:45"", ""23:00""]], ""Sat"": [[""10:45"", ""23:00""]], ""Sun"": [[""10:45"", ""23:00""]] }","Catering,Counter Service,Dinner,Lunch,Mexican Food",,,2019-07,POLYGON,"[""chipotle.com""]",https://locations.chipotle.com/ny/new-york/150-e-52nd-st
782,227-222@627-wbv-k9f,224-223@627-wbv-grk,Five Guys,SG_BRAND_87b52f7d201822f23c1015f8e9beb4b1,Five Guys,1499.0,Restaurants and Other Eating Places,Limited-Service Restaurants,722513,40.757215,-73.989238,253 W 42nd St,New York,NY,10036.0,US,12123982600.0,"{ ""Mon"": [[""0:00"", ""2:00""], [""11:00"", ""24:00""]], ""Tue"": [[""0:00"", ""2:00""], [""11:00"", ""24:00""]], ""Wed"": [[""0:00"", ""2:00""], [""11:00"", ""24:00""]], ""Thu"": [[""0:00"", ""2:00""], [""11:00"", ""24:00""]], ""Fri"": [[""0:00"", ""2:00""], [""11:00"", ""24:00""]], ""Sat"": [[""0:00"", ""2:00""], [""11:00"", ""24:00""]], ""Sun"": [[""0:00"", ""2:00""], [""11:00"", ""24:00""]] }","Burgers,Counter Service,Dinner,Lunch",,,2019-07,POLYGON,"[""fiveguys.com""]",https://restaurants.fiveguys.com/253-west-42nd-street
785,22p-222@627-s8r-jjv,,Cherry's Pharmacy,,,,Health and Personal Care Stores,Pharmacies and Drug Stores,446110,40.765811,-73.962741,207 E 66th St,New York,NY,10065.0,US,12127177797.0,"{ ""Mon"": [[""8:30"", ""18:30""]], ""Tue"": [[""8:30"", ""18:30""]], ""Wed"": [[""8:30"", ""18:30""]], ""Thu"": [[""8:30"", ""18:30""]], ""Fri"": [[""8:30"", ""18:30""]], ""Sat"": [[""9:00"", ""15:00""]], ""Sun"": [] }",Medical Supplies,,,2019-07,POLYGON,"[""cherryspharmacy.com""]",http://www.cherryspharmacy.com
787,237-224@627-wc7-zs5,,September Wines & Spirits,,,,"Beer, Wine, and Liquor Stores","Beer, Wine, and Liquor Stores",445310,40.721366,-73.987831,100 Stanton St,New York,NY,10002.0,US,12123880770.0,"{ ""Mon"": [[""12:00"", ""21:00""]], ""Tue"": [[""12:00"", ""21:00""]], ""Wed"": [[""12:00"", ""21:00""]], ""Thu"": [[""12:00"", ""21:00""]], ""Fri"": [[""12:00"", ""22:00""]], ""Sat"": [[""12:00"", ""22:00""]], ""Sun"": [[""13:00"", ""21:00""]] }","Alcoholic Beverages,Wine Bar",,,2019-07,POLYGON,"[""septemberwines.com""]",
788,23d-223@627-wc7-zs5,,The Slipper Room,,,,"Promoters of Performing Arts, Sports, and Similar Events","Promoters of Performing Arts, Sports, and Similar Events with Facilities",711310,40.721454,-73.988804,167 Orchard St,New York,NY,10002.0,US,12122537246.0,"{ ""Mon"": [[""0:00"", ""1:00""], [""19:00"", ""24:00""]], ""Tue"": [[""0:00"", ""1:00""], [""19:00"", ""24:00""]], ""Wed"": [[""0:00"", ""2:00""], [""19:00"", ""24:00""]], ""Thu"": [[""0:00"", ""2:00""], [""19:00"", ""24:00""]], ""Fri"": [[""0:00"", ""4:00""], [""20:00"", ""24:00""]], ""Sat"": [[""0:00"", ""4:00""], [""20:00"", ""24:00""]], ""Sun"": [[""0:00"", ""4:00""], [""8:30"", ""24:00""]] }",Music Venue,,,2019-07,POLYGON,"[""slipperroom.com"",""ironmulefest.com""]",
793,zzy-228@627-s4r-nh5,,Fairway Market,SG_BRAND_90f01ffd91f30e324884705ed14a22c0,Fairway Market,182.0,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,445110,40.780819,-73.981788,2131 Broadway,New York,NY,10023.0,US,17185694500.0,"{ ""Mon"": [[""7:00"", ""24:00""]], ""Tue"": [[""7:00"", ""24:00""]], ""Wed"": [[""7:00"", ""24:00""]], ""Thu"": [[""7:00"", ""24:00""]], ""Fri"": [[""7:00"", ""24:00""]], ""Sat"": [[""7:00"", ""24:00""]], ""Sun"": [[""7:00"", ""24:00""]] }","Bakery,Catering,Deli,Meats,Seafood",,,2019-07,POLYGON,"[""fairwaymarket.com""]",
795,222-224@5yv-hkm-qzz,zzw-223@5yv-hkm-rc5,Sur La Table,SG_BRAND_05286b13e4cd9b9707add15e0b00e9e2,Sur La Table,164.0,Home Furnishings Stores,All Other Home Furnishings Stores,442299,36.150574,-115.333227,306 W 57th St,New York,NV,10019.0,US,12125748334.0,"{ ""Mon"": [[""10:00"", ""21:00""]], ""Tue"": [[""10:00"", ""21:00""]], ""Wed"": [[""10:00"", ""21:00""]], ""Thu"": [[""10:00"", ""21:00""]], ""Fri"": [[""10:00"", ""21:00""]], ""Sat"": [[""10:00"", ""21:00""]], ""Sun"": [[""11:00"", ""19:00""]] }","Appliances,Grills,Kitchen Supplies",2022-04,,2019-07,POLYGON,"[""surlatable.com""]",https://www.surlatable.com/store-details?StoreID=164
797,228-222@627-s8r-n3q,,Angel's Nail,,,,Personal Care Services,"Hair, Nail, and Skin Care Services",81211,40.769825,-73.962445,151 E 71st St,New York,NY,10021.0,US,12125355333.0,,,,,2019-07,POLYGON,"[""angels-nail.com""]",
799,22h-222@627-s8r-rrk,,Lenwich,SG_BRAND_463f1ae3de3fd818,Lenwich,,Restaurants and Other Eating Places,Full-Service Restaurants,722511,40.757419,-73.966435,1024 2nd Ave,New York,NY,10022.0,US,12123555700.0,"{ ""Mon"": [[""7:00"", ""18:00""]], ""Tue"": [[""7:00"", ""18:00""]], ""Wed"": [[""7:00"", ""18:00""]], ""Thu"": [[""7:00"", ""18:00""]], ""Fri"": [[""7:00"", ""18:00""]], ""Sat"": [[""8:00"", ""18:00""]], ""Sun"": [[""8:00"", ""18:00""]] }","Breakfast,Coffee Shop,Counter Service,Lunch,Sandwich Shop,Snacks",,,2019-07,POLYGON,"[""lenwich.com"",""lenwichtogo.com""]",https://www.lenwichtogo.com/store1024/restaurant.php
802,23f-222@627-s4k-mrk,,Starbucks,SG_BRAND_f116acfe9147494063e58da666d1d57e,Starbucks,7352.0,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,722515,40.786697,-73.972265,540 Columbus Ave,New York,NY,10024.0,US,12124964163.0,"{ ""Mon"": [[""5:00"", ""20:30""]], ""Tue"": [[""5:00"", ""20:30""]], ""Wed"": [[""5:00"", ""20:30""]], ""Thu"": [[""5:00"", ""20:30""]], ""Fri"": [[""5:00"", ""20:30""]], ""Sat"": [[""5:00"", ""20:30""]], ""Sun"": [[""5:00"", ""20:30""]] }","Bakery,Coffee Shop,Counter Service,Dessert,Snacks,Tea House",,,2019-07,POLYGON,"[""starbucks.com""]",https://www.starbucks.com/store-locator/store/15082
805,zzw-222@627-s4v-47q,,Cascalote Latin Bistro,,,,Restaurants and Other Eating Places,Full-Service Restaurants,722511,40.792704,-73.940675,2126 2nd Ave,New York,NY,10029.0,US,16463516574.0,"{ ""Mon"": [], ""Tue"": [[""12:00"", ""22:00""]], ""Wed"": [[""12:00"", ""22:00""]], ""Thu"": [[""12:00"", ""22:00""]], ""Fri"": [[""12:00"", ""23:00""]], ""Sat"": [[""11:00"", ""23:00""]], ""Sun"": [[""11:00"", ""22:00""]] }","Latin American Food,Mexican Food",,,2019-07,POLYGON,"[""cascalotenyc.com"",""cascaloterestaurants.com""]",https://cascaloterestaurants.com
806,zzw-223@627-s8j-rc5,,Dunkin',SG_BRAND_9b4045db0fbb461cf9ed78916d9b16b4,Dunkin',340313.0,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,722515,40.740143,-73.978896,476 2nd Ave,New York,NY,10016.0,US,12126842173.0,"{ ""Mon"": [[""5:00"", ""20:30""]], ""Tue"": [[""5:00"", ""20:30""]], ""Wed"": [[""5:00"", ""20:30""]], ""Thu"": [[""5:00"", ""20:30""]], ""Fri"": [[""5:00"", ""20:30""]], ""Sat"": [[""7:00"", ""16:00""]], ""Sun"": [[""7:00"", ""16:00""]] }","Coffee Shop,Counter Service,Dessert,Donut Shop,Snacks",,,2019-07,POLYGON,"[""dunkindonuts.com""]",https://locations.dunkindonuts.com/en/340313
807,zzw-227@627-wc6-yn5,,Zara,SG_BRAND_f8c2475361c649af0f3bf7c2e2aa5160,Zara,3862.0,Clothing Stores,Family Clothing Stores,448140,40.722438,-73.999638,503 Broadway,New York,NY,10012.0,US,12122192958.0,"{ ""Mon"": [[""10:00"", ""21:00""]], ""Tue"": [[""10:00"", ""21:00""]], ""Wed"": [], ""Thu"": [[""10:00"", ""21:00""]], ""Fri"": [[""10:00"", ""21:00""]], ""Sat"": [[""10:00"", ""21:00""]], ""Sun"": [[""11:00"", ""20:00""]] }","Accessories,Children's Clothing,Home Decor,Men's Clothing,Women's Clothing",,,2019-07,POLYGON,"[""zara.com""]",
809,zzy-222@627-wbn-guk,,Simo Pizza,,,,Restaurants and Other Eating Places,Full-Service Restaurants,722511,40.739243,-74.008747,90 Gansevoort St # 92,New York,NY,10014.0,US,12124622703.0,"{ ""Mon"": [[""11:30"", ""22:00""]], ""Tue"": [[""11:30"", ""22:00""]], ""Wed"": [[""11:30"", ""22:00""]], ""Thu"": [[""11:30"", ""22:00""]], ""Fri"": [[""11:30"", ""22:00""]], ""Sat"": [[""11:30"", ""22:00""]], ""Sun"": [[""11:30"", ""22:00""]] }",Pizza,,,2019-07,POLYGON,"[""simopizza.com""]",https://simopizza.com
815,227-22j@627-s8j-2rk,zzy-22n@627-s8j-2rk,Peet's Coffee and Tea,SG_BRAND_8421bf6b31aaf51cc6dfa83a155940a3,Peet's Coffee and Tea,5571.0,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,722515,40.734714,-73.99103,853 Broadway,New York,NY,10003.0,US,16467594933.0,"{ ""Mon"": [[""7:00"", ""18:00""]], ""Tue"": [[""7:00"", ""18:00""]], ""Wed"": [[""7:00"", ""18:00""]], ""Thu"": [[""7:00"", ""18:00""]], ""Fri"": [[""7:00"", ""18:00""]], ""Sat"": [[""10:00"", ""16:00""]], ""Sun"": [] }","Coffee Shop,Counter Service,Dessert,Snacks,Tea House",,,2019-07,POLYGON,"[""peets.com""]",
817,22g-222@627-s4v-zs5,,Barawine,,,,Drinking Places (Alcoholic Beverages),Drinking Places (Alcoholic Beverages),722410,40.804587,-73.947417,200 Lenox Ave,New York,NY,10027.0,US,16467564154.0,"{ ""Mon"": [[""16:00"", ""22:00""]], ""Tue"": [[""16:00"", ""22:00""]], ""Wed"": [[""16:00"", ""22:00""]], ""Thu"": [[""16:00"", ""22:00""]], ""Fri"": [[""16:00"", ""23:00""]], ""Sat"": [[""16:00"", ""23:00""]], ""Sun"": [[""12:00"", ""22:00""]] }","Bar or Pub,Late Night,Wine Bar",,,2019-07,POLYGON,"[""barawine.com""]",http://www.barawine.com/
819,22q-222@627-wbn-gzf,,Myers of Keswick,,,,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,445110,40.738509,-74.0053,634 Hudson St,New York,NY,10014.0,US,12126914194.0,"{ ""Mon"": [[""10:00"", ""19:00""]], ""Tue"": [[""10:00"", ""19:00""]], ""Wed"": [[""10:00"", ""19:00""]], ""Thu"": [[""10:00"", ""19:00""]], ""Fri"": [[""10:00"", ""19:00""]], ""Sat"": [[""10:00"", ""18:00""]], ""Sun"": [[""12:00"", ""17:00""]] }","European Food,Gourmet",,,2019-07,POLYGON,"[""myersofkeswick.com""]",https://myersofkeswick.com
821,22x-222@627-s8k-sdv,,Domino's Pizza,SG_BRAND_da46ad6f82825669a56b44d32564dff8,Domino's Pizza,3622.0,Restaurants and Other Eating Places,Limited-Service Restaurants,722513,40.73038,-73.980839,440 E 14th St,New York,NY,10009.0,US,12124733030.0,"{ ""Mon"": [[""0:00"", ""2:00""], [""10:00"", ""24:00""]], ""Tue"": [[""0:00"", ""2:00""], [""10:00"", ""24:00""]], ""Wed"": [[""0:00"", ""2:00""], [""10:00"", ""24:00""]], ""Thu"": [[""0:00"", ""2:00""], [""10:00"", ""24:00""]], ""Fri"": [[""0:00"", ""2:00""], [""10:00"", ""24:00""]], ""Sat"": [[""0:00"", ""3:00""], [""10:00"", ""24:00""]], ""Sun"": [[""0:00"", ""3:00""], [""10:00"", ""24:00""]] }","Counter Service,Dinner,Lunch,Pizza,Sandwich Shop",,,2019-07,POLYGON,"[""dominos.com""]",https://pizza.dominos.com/new-york/new-york/440-e-14th-street
822,22y-222@627-wbv-jvz,,Clinton Fruit Market,,,,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,445110,40.761632,-73.990639,681 9th Ave,New York,NY,10036.0,US,16469983474.0,"{ ""Mon"": [[""0:00"", ""24:00""]], ""Tue"": [[""0:00"", ""24:00""]], ""Wed"": [[""0:00"", ""24:00""]], ""Thu"": [[""0:00"", ""24:00""]], ""Fri"": [[""0:00"", ""24:00""]], ""Sat"": [[""0:00"", ""24:00""]], ""Sun"": [[""0:00"", ""24:00""]] }","Deli,Smoothie & Juice Bar",,,2019-07,POLYGON,"[""menus.fyi""]",
824,23r-222@627-s8r-mff,,Korean Express,,,,Restaurants and Other Eating Places,Full-Service Restaurants,722511,40.764209,-73.966551,807 Lexington Ave,New York,NY,10065.0,US,12127550123.0,"{ ""Mon"": [[""11:30"", ""21:00""]], ""Tue"": [[""11:30"", ""21:00""]], ""Wed"": [[""11:30"", ""21:00""]], ""Thu"": [[""11:30"", ""21:00""]], ""Fri"": [[""11:30"", ""21:00""]], ""Sat"": [[""11:30"", ""21:00""]], ""Sun"": [[""11:30"", ""21:00""]] }",Korean Food,,,2019-07,POLYGON,"[""koreanexpress.com"",""koreantakeout.com""]",http://www.koreantakeout.com
825,zzw-238@627-s37-pjv,,Juice Generation,SG_BRAND_948ffc9401d21d0ae06e1306b62e2e7b,Juice Generation,17.0,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,722515,40.753479,-73.987544,1407 Broadway,New York,NY,10018.0,US,12125311110.0,"{ ""Mon"": [[""7:00"", ""21:00""]], ""Tue"": [[""7:00"", ""21:00""]], ""Wed"": [[""7:00"", ""21:00""]], ""Thu"": [[""7:00"", ""21:00""]], ""Fri"": [[""7:00"", ""21:00""]], ""Sat"": [[""8:00"", ""19:00""]], ""Sun"": [[""8:00"", ""19:00""]] }","Breakfast,Counter Service,Healthy Food,Smoothie & Juice Bar,Snacks",,,2019-07,POLYGON,"[""juicegeneration.com""]",https://www.juicegeneration.com/locations?location_id=17&tab=allitems
826,22g-223@627-s4n-vfz,,Poke Fresh,,,,Restaurants and Other Eating Places,Full-Service Restaurants,722511,40.774256,-73.947989,1588 York Ave,New York,NY,10028.0,US,12125355798.0,"{ ""Mon"": [[""11:30"", ""22:45""]], ""Tue"": [[""11:30"", ""22:45""]], ""Wed"": [[""11:30"", ""22:45""]], ""Thu"": [[""11:30"", ""22:45""]], ""Fri"": [[""11:30"", ""22:45""]], ""Sat"": [[""12:00"", ""22:45""]], ""Sun"": [] }","Hawaiian Food,Seafood,Sushi",,,2019-07,POLYGON,"[""pokefresh-ny.com"",""poke-fresh.com""]",
827,22h-222@627-s8k-2ff,,Pret A Manger,SG_BRAND_dc0f15ca936ea290fa731e767c89b64a,Pret A Manger,22.0,Restaurants and Other Eating Places,Limited-Service Restaurants,722513,40.75233,-73.985665,1020 6th Ave,New York,NY,10018.0,US,16466924349.0,"{ ""Mon"": [[""7:00"", ""21:30""]], ""Tue"": [[""7:00"", ""21:30""]], ""Wed"": [[""7:00"", ""21:30""]], ""Thu"": [[""7:00"", ""21:30""]], ""Fri"": [[""7:00"", ""19:30""]], ""Sat"": [], ""Sun"": [] }","American Food,Bakery,Breakfast,Catering,Coffee Shop,Counter Service,Dessert,Lunch,Sandwich Shop,Snacks",,,2019-07,POLYGON,"[""pret.com""]",
828,22j-222@627-s8r-8n5,,Columbus Circle Imaging,,,,Medical and Diagnostic Laboratories,,6215,40.76677,-73.981374,1790 Broadway,New York,NY,10019.0,US,12129774100.0,"{ ""Mon"": [[""7:00"", ""22:00""]], ""Tue"": [[""7:00"", ""22:00""]], ""Wed"": [[""7:00"", ""22:00""]], ""Thu"": [[""7:00"", ""22:00""]], ""Fri"": [[""8:00"", ""20:00""]], ""Sat"": [[""8:00"", ""20:00""]], ""Sun"": [[""8:00"", ""20:00""]] }","Diagnostic Imaging,Diagnostic Services,Radiologists",,,2019-07,POLYGON,"[""nyrp.com""]",
832,22z-222@627-s8r-m49,,Ajisai Japanese Fusion,,,,Restaurants and Other Eating Places,Full-Service Restaurants,722511,40.763788,-73.966797,795 Lexington Ave,New York,NY,10065.0,US,12123550888.0,"{ ""Mon"": [[""11:00"", ""22:00""]], ""Tue"": [[""11:00"", ""22:00""]], ""Wed"": [[""11:00"", ""22:00""]], ""Thu"": [[""11:00"", ""22:00""]], ""Fri"": [[""11:00"", ""22:00""]], ""Sat"": [[""11:00"", ""22:00""]], ""Sun"": [[""12:00"", ""23:00""]] }","Asian Food,Japanese Food,Sushi",,,2019-07,POLYGON,"[""ajisainy.com""]",http://ajisainy.com/
835,zzw-222@627-s4s-n89,,Angel of Harlem,,,,Restaurants and Other Eating Places,Full-Service Restaurants,722511,40.808045,-73.952464,2272 Frederick Douglass Blvd,New York,NY,10027.0,US,12123160350.0,"{ ""Mon"": [], ""Tue"": [], ""Wed"": [[""17:00"", ""24:00""]], ""Thu"": [[""17:00"", ""24:00""]], ""Fri"": [[""16:00"", ""24:00""]], ""Sat"": [[""0:00"", ""2:00""], [""11:00"", ""24:00""]], ""Sun"": [[""0:00"", ""2:00""], [""11:00"", ""24:00""]] }","Bar or Pub,Brunch,Late Night",,,2019-07,POLYGON,"[""angelofharlemnyc.com""]",http://www.angelofharlemnyc.com
836,zzw-225@627-wc2-5fz,,Dunkin',SG_BRAND_9b4045db0fbb461cf9ed78916d9b16b4,Dunkin',357621.0,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,722515,40.710016,-74.014443,90 West St,New York,NY,10006.0,US,12125879500.0,"{ ""Mon"": [[""6:00"", ""19:00""]], ""Tue"": [[""6:00"", ""19:00""]], ""Wed"": [[""6:00"", ""19:00""]], ""Thu"": [[""6:00"", ""19:00""]], ""Fri"": [[""6:00"", ""19:00""]], ""Sat"": [[""7:00"", ""19:00""]], ""Sun"": [[""7:00"", ""19:00""]] }","Coffee Shop,Counter Service,Dessert,Donut Shop,Snacks",,,2019-07,POLYGON,"[""dunkindonuts.com""]",https://locations.dunkindonuts.com/en/357621
839,225-222@627-s4r-2hq,,Starbucks,SG_BRAND_f116acfe9147494063e58da666d1d57e,Starbucks,69349.0,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,722515,40.767068,-73.984007,322 W 57th St,New York,NY,10019.0,US,13322202800.0,"{ ""Mon"": [[""5:30"", ""19:30""]], ""Tue"": [[""5:30"", ""19:30""]], ""Wed"": [[""5:30"", ""19:30""]], ""Thu"": [[""5:30"", ""19:30""]], ""Fri"": [[""5:30"", ""19:30""]], ""Sat"": [[""5:30"", ""19:30""]], ""Sun"": [[""5:30"", ""19:30""]] }","Bakery,Coffee Shop,Counter Service,Dessert,Snacks,Tea House",,2024-02,2019-07,POLYGON,"[""starbucks.com""]",
840,zzy-227@627-s8r-d7q,,Equinox Fitness Clubs,SG_BRAND_0cf9d52fc56badb790a6c3965f24eb8c,Equinox Fitness Clubs,127.0,Other Amusement and Recreation Industries,Fitness and Recreational Sports Centers,713940,40.7547,-73.985551,129 W 41st St,New York,NY,10036.0,US,12122990562.0,"{ ""Mon"": [[""5:30"", ""21:00""]], ""Tue"": [[""5:30"", ""21:00""]], ""Wed"": [[""5:30"", ""21:00""]], ""Thu"": [[""5:30"", ""21:00""]], ""Fri"": [[""5:30"", ""19:00""]], ""Sat"": [], ""Sun"": [] }","Barre,Kickboxing,Pilates,Spa,Yoga",,,2021-04,POLYGON,"[""equinox.com""]",https://www.equinox.com/clubs/new-york/midtown/bryantpark
842,226-222@627-s8n-bff,,Murphy's Law,,,,Restaurants and Other Eating Places,Full-Service Restaurants,722511,40.76618,-73.955644,417 E 70th St,New York,NY,10021.0,US,12126283724.0,"{ ""Mon"": [[""0:00"", ""1:00""], [""11:00"", ""24:00""]], ""Tue"": [[""0:00"", ""2:00""], [""11:00"", ""24:00""]], ""Wed"": [[""0:00"", ""2:00""], [""11:00"", ""24:00""]], ""Thu"": [[""0:00"", ""2:00""], [""11:00"", ""24:00""]], ""Fri"": [[""0:00"", ""3:00""], [""11:00"", ""24:00""]], ""Sat"": [[""0:00"", ""3:00""], [""12:00"", ""24:00""]], ""Sun"": [[""0:00"", ""1:00""], [""12:00"", ""24:00""]] }","Bar or Pub,Irish Food,Late Night,Sports Bar",,,2019-07,POLYGON,"[""revelup.online""]",https://murphyslaw.revelup.online/store/1
