,PLACEKEY,PARENT_PLACEKEY,LOCATION_NAME,SAFEGRAPH_BRAND_IDS,BRANDS,STORE_ID,TOP_CATEGORY,SUB_CATEGORY,NAICS_CODE,LATITUDE,LONGITUDE,STREET_ADDRESS,CITY,REGION,POSTAL_CODE,ISO_COUNTRY_CODE,PHONE_NUMBER,OPEN_HOURS,CATEGORY_TAGS,OPENED_ON,CLOSED_ON,TRACKING_CLOSED_SINCE,GEOMETRY_TYPE,DOMAINS,WEBSITE
3403,233-223@627-s4m-435,,Atlas Kitchen,,,,Restaurants and Other Eating Places,Full-Service Restaurants,722511,40.803261,-73.966765,258 W 109th St,New York,NY,10025.0,US,16469280522.0,"{ ""Mon"": [[""11:30"", ""21:30""]], ""Tue"": [[""11:30"", ""21:30""]], ""Wed"": [[""11:30"", ""21:30""]], ""Thu"": [[""11:30"", ""21:30""]], ""Fri"": [[""11:30"", ""21:30""]], ""Sat"": [[""11:30"", ""21:30""]], ""Sun"": [[""11:30"", ""21:30""]] }",Chinese Food,,,2019-07,POLYGON,"[""atlaskitchennyc.com""]",https://www.atlaskitchennyc.com
3404,235-222@627-s4n-ckf,,Zingone Brothers,,,,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,445110,40.784201,-73.973456,471 Columbus Ave,New York,NY,10024.0,US,12128777525.0,"{ ""Mon"": [[""7:30"", ""20:30""]], ""Tue"": [[""7:30"", ""20:30""]], ""Wed"": [[""7:30"", ""20:30""]], ""Thu"": [[""7:30"", ""20:30""]], ""Fri"": [[""7:30"", ""20:30""]], ""Sat"": [[""7:30"", ""20:30""]], ""Sun"": [] }",Gourmet,,,2019-07,POLYGON,[],
3407,23m-222@627-s4n-ct9,,Osteria Cotta,,,,Restaurants and Other Eating Places,Full-Service Restaurants,722511,40.785574,-73.972548,513 Columbus Ave,New York,NY,10024.0,US,12128738500.0,"{ ""Mon"": [[""16:00"", ""22:00""]], ""Tue"": [[""16:00"", ""22:00""]], ""Wed"": [[""16:00"", ""22:00""]], ""Thu"": [[""16:00"", ""22:00""]], ""Fri"": [[""15:00"", ""24:00""]], ""Sat"": [[""11:00"", ""24:00""]], ""Sun"": [[""11:00"", ""22:00""]] }","Bar or Pub,Italian Food,Late Night,Wine Bar",,,2019-07,POLYGON,"[""cottanyc.com""]",http://www.cottanyc.com/
3408,zzw-25x@627-s8j-mff,223-223@627-s8j-ygk,Paris Baguette,SG_BRAND_be1d40bed004757df4369d291725b8dd,Paris Baguette,1738.0,Restaurants and Other Eating Places,Full-Service Restaurants,722511,40.747295,-73.986317,6 W 32nd St,New York,NY,10001.0,US,12122440404.0,"{ ""Mon"": [[""6:00"", ""22:00""]], ""Tue"": [[""6:00"", ""22:00""]], ""Wed"": [[""6:00"", ""22:00""]], ""Thu"": [[""6:00"", ""22:00""]], ""Fri"": [[""6:00"", ""22:00""]], ""Sat"": [[""6:00"", ""23:00""]], ""Sun"": [[""6:00"", ""23:00""]] }","Bakery,Breakfast,Counter Service,Dessert,Lunch,Sandwich Shop,Snacks",,,2019-07,POLYGON,"[""genevacustomshirts.com"",""parisbaguette.com""]",
3409,228-222@627-s8k-35z,,The Keg Room,,,,Restaurants and Other Eating Places,Full-Service Restaurants,722511,40.750923,-73.985837,53 W 36th St,New York,NY,10018.0,US,12126431400.0,"{ ""Mon"": [[""0:00"", ""1:00""], [""11:30"", ""24:00""]], ""Tue"": [[""0:00"", ""1:00""], [""11:30"", ""24:00""]], ""Wed"": [[""0:00"", ""3:00""], [""11:30"", ""24:00""]], ""Thu"": [[""0:00"", ""3:00""], [""11:30"", ""24:00""]], ""Fri"": [[""0:00"", ""3:00""], [""11:30"", ""24:00""]], ""Sat"": [[""0:00"", ""3:00""], [""12:00"", ""24:00""]], ""Sun"": [[""0:00"", ""3:00""], [""12:00"", ""24:00""]] }","Bar or Pub,Irish Food,Late Night",,,2019-07,POLYGON,"[""thekegroom.nyc""]",http://thekegroom.nyc
3410,228-224@627-wc8-59f,,EN Japanese Brasserie,,,,Restaurants and Other Eating Places,Full-Service Restaurants,722511,40.730449,-74.007205,435 Hudson St,New York,NY,10014.0,US,12126479196.0,"{ ""Mon"": [[""12:00"", ""14:30""], [""17:30"", ""22:30""]], ""Tue"": [[""12:00"", ""14:30""], [""17:30"", ""22:30""]], ""Wed"": [[""12:00"", ""14:30""], [""17:30"", ""22:30""]], ""Thu"": [[""12:00"", ""14:30""], [""17:30"", ""22:30""]], ""Fri"": [[""12:00"", ""14:30""], [""17:30"", ""22:30""]], ""Sat"": [[""12:00"", ""14:30""], [""17:30"", ""22:30""]], ""Sun"": [[""12:00"", ""14:30""], [""17:30"", ""22:30""]] }","Bar or Pub,Japanese Food,Late Night,Sushi",,,2019-07,POLYGON,"[""enjb.com""]",http://www.enjb.com
3411,22c-222@627-s8j-cwk,,Pinkberry,SG_BRAND_04d0d7a918ea9bfa51c4c1577bc66947,Pinkberry,15045.0,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,722515,40.737227,-73.99727,509 6th Ave,New York,NY,10011.0,US,12124148429.0,"{ ""Mon"": [[""12:00"", ""22:30""]], ""Tue"": [[""12:00"", ""22:30""]], ""Wed"": [[""12:00"", ""22:30""]], ""Thu"": [[""12:00"", ""22:30""]], ""Fri"": [[""12:00"", ""23:00""]], ""Sat"": [[""12:00"", ""23:00""]], ""Sun"": [[""12:00"", ""22:30""]] }","Counter Service,Dessert,Frozen Yogurt Shop,Snacks",,,2019-07,POLYGON,"[""pinkberry.com""]",https://www.pinkberry.com/stores/15045
3413,22f-222@627-s4r-p5f,,Barnes and Noble,SG_BRAND_0031e43e4f12b969239801d340f7c141,Barnes and Noble,1979.0,Book Stores and News Dealers,Book Stores,451211,40.78619,-73.978735,2289 Broadway,New York,NY,10024.0,US,12123628835.0,"{ ""Mon"": [[""9:00"", ""20:00""]], ""Tue"": [[""9:00"", ""20:00""]], ""Wed"": [[""9:00"", ""20:00""]], ""Thu"": [[""9:00"", ""20:00""]], ""Fri"": [[""9:00"", ""21:00""]], ""Sat"": [[""9:00"", ""21:00""]], ""Sun"": [[""10:00"", ""19:00""]] }","Books,Toys,Videos and Games",,,2019-07,POLYGON,"[""barnesandnoble.com""]",https://stores.barnesandnoble.com/store/1979
3414,22t-222@627-s5x-c3q,,McDonald's,SG_BRAND_5179b21fc1d50950b99b4eecaa48c614,McDonald's,20450.0,Restaurants and Other Eating Places,Limited-Service Restaurants,722513,40.867395,-73.921291,608 W 207th St,New York,NY,10034.0,US,12123043611.0,"{ ""Mon"": [[""0:00"", ""24:00""]], ""Tue"": [[""0:00"", ""24:00""]], ""Wed"": [[""0:00"", ""24:00""]], ""Thu"": [[""0:00"", ""24:00""]], ""Fri"": [[""0:00"", ""24:00""]], ""Sat"": [[""0:00"", ""24:00""]], ""Sun"": [[""0:00"", ""24:00""]] }","Breakfast,Burgers,Counter Service,Dinner,Fast Food,Lunch",,,2019-07,POLYGON,"[""mcdonalds.com""]",https://www.mcdonalds.com/us/en-us/location/20450.html
3422,223-222@627-s8r-m49,,Lilli & Loo,,,,Restaurants and Other Eating Places,Full-Service Restaurants,722511,40.763537,-73.966959,785 Lexington Ave,New York,NY,10065.0,US,12124217800.0,"{ ""Mon"": [[""12:00"", ""21:00""]], ""Tue"": [[""12:00"", ""21:00""]], ""Wed"": [[""12:00"", ""21:00""]], ""Thu"": [[""12:00"", ""21:00""]], ""Fri"": [[""12:00"", ""21:00""]], ""Sat"": [[""12:00"", ""21:00""]], ""Sun"": [[""12:00"", ""21:00""]] }","Chinese Food,Sushi",,,2019-07,POLYGON,"[""lilliandloonyc.com""]",
